TimeSeries ID,api/request_latencies.consumed_api.ALIGN_SUM.REDUCE_PERCENTILE_50.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_latencies" AND project="gen-lang-client-0365132841" AND resource.labels.service="generativelanguage.googleapis.com".method:google.ai.generativelanguage.v1beta.GenerativeService.GenerateContent.project_id:gen-lang-client-0365132841
project_id,gen-lang-client-0365132841
method,google.ai.generativelanguage.v1beta.GenerativeService.GenerateContent
Fri Apr 18 2025 11:25:00 GMT+0200 (centraleuropeisk sommartid),0.393216
Fri Apr 18 2025 11:26:00 GMT+0200 (centraleuropeisk sommartid),0.393216
