TimeSeries ID,api/request_count serviceruntime.googleapis.com/api/request_count).consumed_api.ALIGN_RATE.REDUCE_SUM.resource.type="consumed_api" AND metric.type="serviceruntime.googleapis.com/api/request_count" AND project="gen-lang-client-0365132841" AND resource.labels.service="generativelanguage.googleapis.com" AND (metric.labels.response_code_class=one_of("4xx" "5xx")).method:google.ai.generativelanguage.v1beta.GenerativeService.GenerateContent.project_id:gen-lang-client-0365132841
method,google.ai.generativelanguage.v1beta.GenerativeService.GenerateContent
project_id,gen-lang-client-0365132841
Fri Apr 18 2025 11:25:00 GMT+0200 (centraleuropeisk sommartid),1
Fri Apr 18 2025 11:26:00 GMT+0200 (centraleuropeisk sommartid),1
